Percentage served,Time in ms
0,10.073
1,126.791
2,126.935
3,127.073
4,127.193
5,127.421
6,127.641
7,127.763
8,127.950
9,128.326
10,128.786
11,129.010
12,129.106
13,129.267
14,129.336
15,129.488
16,129.578
17,129.809
18,130.130
19,130.605
20,131.288
21,165.321
22,165.919
23,166.737
24,166.878
25,166.972
26,167.399
27,167.458
28,167.549
29,167.738
30,167.900
31,168.089
32,168.181
33,168.405
34,168.523
35,168.813
36,169.308
37,169.682
38,170.270
39,170.530
40,172.248
41,181.453
42,181.784
43,182.082
44,182.233
45,182.439
46,182.537
47,182.680
48,182.877
49,183.276
50,183.385
51,183.567
52,184.071
53,184.173
54,185.112
55,185.514
56,185.773
57,186.037
58,186.482
59,187.684
60,188.730
61,189.369
62,189.746
63,190.045
64,190.233
65,190.510
66,190.946
67,191.147
68,191.360
69,191.399
70,191.591
71,191.655
72,191.821
73,192.131
74,192.296
75,192.359
76,192.457
77,192.577
78,192.701
79,192.877
80,199.833
81,201.295
82,202.179
83,202.837
84,204.105
85,205.141
86,205.461
87,206.420
88,207.820
89,208.259
90,208.920
91,209.731
92,210.948
93,211.396
94,212.253
95,212.677
96,212.977
97,213.282
98,213.941
99,214.295
100,214.561
